"","sample","freq.perc","isotype","timepoint","cohort"
"289","B54",4.38871473354232,"IGHG2","1.PRE","1.Measles"
"290","B54",1.97105681281402,"IGHG3","1.PRE","1.Measles"
"291","B54",0.017176965689011,"IGHG4","1.PRE","1.Measles"
"292","B54",39.1463048052562,"IGHM","1.PRE","1.Measles"
"293","B54",1.22679752506934,"IGHG3","2.POST","1.Measles"
"294","B54",0.0106678045658204,"IGHG4","2.POST","1.Measles"
"295","B54",41.3590783016855,"IGHM","2.POST","1.Measles"
"296","B54",4.64049498613185,"IGHG2","2.POST","1.Measles"
"297","B54",0.928098997226371,"IGHD/IGHM","2.POST","1.Measles"
"298","B54",29.6351610838489,"IGHA1","2.POST","1.Measles"
"299","B54",7.78749733304886,"IGHA2","2.POST","1.Measles"
"300","B54",9.05696607638148,"IGHD","2.POST","1.Measles"
"301","B54",5.35523789204182,"IGHG1","2.POST","1.Measles"
"987","B71",36.365568544102,"IGHA1","1.PRE","1.Measles"
"988","B71",9.85122210414453,"IGHA2","1.PRE","1.Measles"
"989","B71",6.68437832093518,"IGHD","1.PRE","1.Measles"
"990","B71",0.75451647183847,"IGHD/IGHM","1.PRE","1.Measles"
"991","B71",4.6865037194474,"IGHG1","1.PRE","1.Measles"
"992","B71",5.3134962805526,"IGHG2","1.PRE","1.Measles"
"993","B71",0.552603613177471,"IGHG3","1.PRE","1.Measles"
"994","B71",0.0106269925611052,"IGHG4","1.PRE","1.Measles"
"995","B71",35.7810839532412,"IGHM","1.PRE","1.Measles"
"996","B71",27.5899368435744,"IGHA1","2.POST","1.Measles"
"997","B71",14.4387452458216,"IGHA2","2.POST","1.Measles"
"998","B71",7.08328971701734,"IGHD","2.POST","1.Measles"
"999","B71",0.457098991590774,"IGHD/IGHM","2.POST","1.Measles"
"1000","B71",6.39589657699152,"IGHG1","2.POST","1.Measles"
"1001","B71",7.407795107994,"IGHG2","2.POST","1.Measles"
"1002","B71",0.481524128546007,"IGHG3","2.POST","1.Measles"
"1003","B71",36.1457133884644,"IGHM","2.POST","1.Measles"
"1004","B75",24.5098039215686,"IGHA1","1.PRE","1.Measles"
"1005","B75",8.97207367795603,"IGHA2","1.PRE","1.Measles"
"1006","B75",17.654486036839,"IGHD","1.PRE","1.Measles"
"1007","B75",0.571895424836601,"IGHD/IGHM","1.PRE","1.Measles"
"1008","B75",7.69459298871064,"IGHG1","1.PRE","1.Measles"
"1009","B75",2.54010695187166,"IGHG2","1.PRE","1.Measles"
"1010","B75",0.259952465834819,"IGHG3","1.PRE","1.Measles"
"1011","B75",0.00742721330956625,"IGHG4","1.PRE","1.Measles"
